  Episode 46/100 | 26,000 decisions | 6,251 updates | 1.8 min
Episode 46/100 | score 870 | recent mean 567.6 | exploration 20%
  Episode 47/100 | 26,500 decisions | 6,376 updates | 1.8 min
Episode 47/100 | score 510 | recent mean 567.6 | exploration 20%
  Episode 48/100 | 27,000 decisions | 6,501 updates | 1.8 min
Episode 48/100 | score 640 | recent mean 576.4 | exploration 20%
  Episode 49/100 | 27,500 decisions | 6,626 updates | 1.9 min
Episode 49/100 | score 710 | recent mean 593.6 | exploration 20%
  Episode 50/100 | 28,000 decisions | 6,751 updates | 1.9 min
  Episode 50/100 | 28,500 decisions | 6,876 updates | 1.9 min
Episode 50/100 | score 1270 | recent mean 620.8 | exploration 20%
Separate demonstration score: 450.0
After 50 training games | 4× playback | 2 plays | first 20s of game time

Using the inline preview. Local popup helper unavailable: No module named 'pacman_player'
  Episode 51/100 | 29,000 decisions | 7,001 updates | 2.0 min
Episode 51/100 | score 950 | recent mean 634.8 | exploration 20%
  Episode 52/100 | 29,500 decisions | 7,126 updates | 2.1 min
  Episode 52/100 | 30,000 decisions | 7,251 updates | 2.1 min
Episode 52/100 | score 900 | recent mean 644.8 | exploration 20%
Episode 53/100 | score 440 | recent mean 608.4 | exploration 20%
  Episode 54/100 | 30,500 decisions | 7,376 updates | 2.1 min
  Episode 54/100 | 31,000 decisions | 7,501 updates | 2.2 min
Episode 54/100 | score 410 | recent mean 610.8 | exploration 20%
  Episode 55/100 | 31,500 decisions | 7,626 updates | 2.2 min
Episode 55/100 | score 1310 | recent mean 649.2 | exploration 20%
  Episode 56/100 | 32,000 decisions | 7,751 updates | 2.2 min
Episode 56/100 | score 640 | recent mean 654.4 | exploration 20%
  Episode 57/100 | 32,500 decisions | 7,876 updates | 2.3 min
  Episode 57/100 | 33,000 decisions | 8,001 updates | 2.3 min
Episode 57/100 | score 2650 | recent mean 740.8 | exploration 20%
  Episode 58/100 | 33,500 decisions | 8,126 updates | 2.3 min
  Episode 58/100 | 34,000 decisions | 8,251 updates | 2.3 min
Episode 58/100 | score 580 | recent mean 748.0 | exploration 20%
  Episode 59/100 | 34,500 decisions | 8,376 updates | 2.4 min
Episode 59/100 | score 1520 | recent mean 780.8 | exploration 20%
  Episode 60/100 | 35,000 decisions | 8,501 updates | 2.4 min
  Episode 60/100 | 35,500 decisions | 8,626 updates | 2.5 min
Episode 60/100 | score 1190 | recent mean 814.8 | exploration 20%
  Episode 61/100 | 36,000 decisions | 8,751 updates | 2.5 min
Episode 61/100 | score 480 | recent mean 805.6 | exploration 20%
  Episode 62/100 | 36,500 decisions | 8,876 updates | 2.5 min
Episode 62/100 | score 810 | recent mean 826.4 | exploration 20%
  Episode 63/100 | 37,000 decisions | 9,001 updates | 2.6 min
Episode 63/100 | score 1130 | recent mean 858.4 | exploration 20%
  Episode 64/100 | 37,500 decisions | 9,126 updates | 2.6 min
Episode 64/100 | score 540 | recent mean 873.2 | exploration 20%
  Episode 65/100 | 38,000 decisions | 9,251 updates | 2.6 min
Episode 65/100 | score 450 | recent mean 856.0 | exploration 20%
  Episode 66/100 | 38,500 decisions | 9,376 updates | 2.7 min
Episode 66/100 | score 370 | recent mean 837.2 | exploration 20%
  Episode 67/100 | 39,000 decisions | 9,501 updates | 2.7 min
Episode 67/100 | score 930 | recent mean 861.2 | exploration 20%
  Episode 68/100 | 39,500 decisions | 9,626 updates | 2.7 min
  Episode 68/100 | 40,000 decisions | 9,751 updates | 2.8 min
Episode 68/100 | score 650 | recent mean 876.0 | exploration 20%
  Episode 69/100 | 40,500 decisions | 9,876 updates | 2.8 min
Episode 69/100 | score 460 | recent mean 868.4 | exploration 20%
  Episode 70/100 | 41,000 decisions | 10,001 updates | 2.8 min
Episode 70/100 | score 790 | recent mean 848.0 | exploration 20%
  Episode 71/100 | 41,500 decisions | 10,126 updates | 2.9 min
  Episode 71/100 | 42,000 decisions | 10,251 updates | 2.9 min
Episode 71/100 | score 630 | recent mean 838.4 | exploration 20%
  Episode 72/100 | 42,500 decisions | 10,376 updates | 2.9 min
Episode 72/100 | score 380 | recent mean 833.2 | exploration 20%
  Episode 73/100 | 43,000 decisions | 10,501 updates | 3.0 min
Episode 73/100 | score 580 | recent mean 830.8 | exploration 20%
  Episode 74/100 | 43,500 decisions | 10,626 updates | 3.0 min
  Episode 74/100 | 44,000 decisions | 10,751 updates | 3.0 min
Episode 74/100 | score 790 | recent mean 834.0 | exploration 20%
  Episode 75/100 | 44,500 decisions | 10,876 updates | 3.1 min
Episode 75/100 | score 420 | recent mean 800.0 | exploration 20%
Separate demonstration score: 720.0
After 75 training games | 4× playback | 2 plays | first 20s of game time

Using the inline preview. Local popup helper unavailable: No module named 'pacman_player'
  Episode 76/100 | 45,000 decisions | 11,001 updates | 3.1 min
  Episode 76/100 | 45,500 decisions | 11,126 updates | 3.2 min
Episode 76/100 | score 2310 | recent mean 854.4 | exploration 20%
  Episode 77/100 | 46,000 decisions | 11,251 updates | 3.2 min
  Episode 77/100 | 46,500 decisions | 11,376 updates | 3.2 min
Episode 77/100 | score 1290 | recent mean 870.0 | exploration 20%
  Episode 78/100 | 47,000 decisions | 11,501 updates | 3.3 min
  Episode 78/100 | 47,500 decisions | 11,626 updates | 3.3 min
Episode 78/100 | score 1410 | recent mean 908.8 | exploration 20%
  Episode 79/100 | 48,000 decisions | 11,751 updates | 3.3 min
  Episode 79/100 | 48,500 decisions | 11,876 updates | 3.4 min
Episode 79/100 | score 640 | recent mean 918.0 | exploration 20%
Episode 80/100 | score 410 | recent mean 882.0 | exploration 20%
  Episode 81/100 | 49,000 decisions | 12,001 updates | 3.4 min
  Episode 81/100 | 49,500 decisions | 12,126 updates | 3.4 min
Episode 81/100 | score 540 | recent mean 878.0 | exploration 20%
  Episode 82/100 | 50,000 decisions | 12,251 updates | 3.4 min
Episode 82/100 | score 450 | recent mean 790.0 | exploration 20%
  Episode 83/100 | 50,500 decisions | 12,376 updates | 3.5 min
Episode 83/100 | score 810 | recent mean 799.2 | exploration 20%
  Episode 84/100 | 51,000 decisions | 12,501 updates | 3.5 min
Episode 84/100 | score 770 | recent mean 769.2 | exploration 20%
  Episode 85/100 | 51,500 decisions | 12,626 updates | 3.6 min
  Episode 85/100 | 52,000 decisions | 12,751 updates | 3.6 min
Episode 85/100 | score 510 | recent mean 742.0 | exploration 20%
  Episode 86/100 | 52,500 decisions | 12,876 updates | 3.6 min
Episode 86/100 | score 400 | recent mean 738.8 | exploration 20%
  Episode 87/100 | 53,000 decisions | 13,001 updates | 3.7 min
Episode 87/100 | score 750 | recent mean 736.4 | exploration 20%
  Episode 88/100 | 53,500 decisions | 13,126 updates | 3.7 min
Episode 88/100 | score 1030 | recent mean 732.4 | exploration 20%
  Episode 89/100 | 54,000 decisions | 13,251 updates | 3.7 min
Episode 89/100 | score 250 | recent mean 720.8 | exploration 20%
  Episode 90/100 | 54,500 decisions | 13,376 updates | 3.8 min
Episode 90/100 | score 390 | recent mean 718.4 | exploration 20%
  Episode 91/100 | 55,000 decisions | 13,501 updates | 3.8 min
Episode 91/100 | score 390 | recent mean 719.2 | exploration 20%
  Episode 92/100 | 55,500 decisions | 13,626 updates | 3.8 min
Episode 92/100 | score 2000 | recent mean 762.0 | exploration 20%
  Episode 93/100 | 56,000 decisions | 13,751 updates | 3.9 min
Episode 93/100 | score 390 | recent mean 751.6 | exploration 20%
  Episode 94/100 | 56,500 decisions | 13,876 updates | 3.9 min
Episode 94/100 | score 490 | recent mean 752.8 | exploration 20%
  Episode 95/100 | 57,000 decisions | 14,001 updates | 3.9 min
  Episode 95/100 | 57,500 decisions | 14,126 updates | 4.0 min
Episode 95/100 | score 1030 | recent mean 762.4 | exploration 20%
  Episode 96/100 | 58,000 decisions | 14,251 updates | 4.0 min
Episode 96/100 | score 980 | recent mean 776.4 | exploration 20%
  Episode 97/100 | 58,500 decisions | 14,376 updates | 4.0 min
Episode 97/100 | score 360 | recent mean 775.6 | exploration 20%
  Episode 98/100 | 59,000 decisions | 14,501 updates | 4.1 min
  Episode 98/100 | 59,500 decisions | 14,626 updates | 4.1 min
Episode 98/100 | score 1440 | recent mean 810.0 | exploration 20%
  Episode 99/100 | 60,000 decisions | 14,751 updates | 4.1 min
Episode 99/100 | score 600 | recent mean 802.4 | exploration 20%
  Episode 100/100 | 60,500 decisions | 14,876 updates | 4.2 min
Episode 100/100 | score 570 | recent mean 808.4 | exploration 20%
Separate demonstration score: 420.0
After 100 training games | 4× playback | 2 plays | first 20s of game time

Using the inline preview. Local popup helper unavailable: No module named 'pacman_player'
Saved: pacman_runs/20260916_040814_173931
